5,0.103,0.502,55,0.010000,0.000100
6,0.105,0.679,56,0.010000,0.000100
7,0.109,0.638,57,0.010000,0.000100
8,0.101,0.595,58,0.010000,0.000100
9,0.114,0.659,59,0.010000,0.000100
10,0.116,0.562,60,0.010000,0.000100
11,0.098,0.610,61,0.010000,0.000100
12,0.101,0.610,62,0.010000,0.000100
1,0.132,0.684,56,0.010000,0.000100
2,0.116,0.682,59,0.010000,0.000100
3,0.140,0.595,63,0.010000,0.000100
4,0.107,0.637,64,0.010000,0.000100
5,0.112,0.608,65,0.010000,0.000100
6,0.147,0.670,66,0.010000,0.000100
7,0.117,0.638,67,0.010000,0.000100
8,0.112,0.606,68,0.010000,0.000100
9,0.119,0.638,69,0.010000,0.000100
10,0.125,0.660,70,0.010000,0.000100
11,0.113,0.651,71,0.010000,0.000100
12,0.102,0.608,72,0.010000,0.000100
1,0.193,0.678,56,0.010000,0.000100
2,0.167,0.626,59,0.010000,0.000100
3,0.100,0.628,73,0.010000,0.000100
4,0.102,0.641,74,0.010000,0.000100
5,0.100,0.618,75,0.010000,0.000100
6,0.128,0.672,76,0.010000,0.000100
7,0.143,0.669,77,0.010000,0.000100
8,0.228,0.653,78,0.010000,0.000100
9,0.112,0.684,79,0.010000,0.000100
10,0.134,0.671,80,0.010000,0.000100
11,0.110,0.621,81,0.010000,0.000100
12,0.181,0.656,82,0.010000,0.000100
1,0.173,0.661,79,0.010000,0.000100
2,0.252,0.701,56,0.010000,0.000100
3,0.187,0.694,83,0.010000,0.000100
4,0.102,0.645,84,0.010000,0.000100
5,0.098,0.650,85,0.010000,0.000100
6,0.099,0.591,86,0.010000,0.000100
7,0.169,0.708,87,0.010000,0.000100
8,0.105,0.584,88,0.010000,0.000100
9,0.106,0.564,89,0.010000,0.000100
10,0.181,0.684,90,0.010000,0.000100
11,0.106,0.640,91,0.010000,0.000100
12,0.114,0.638,92,0.010000,0.000100
1,0.215,0.695,87,0.010000,0.000100
2,0.214,0.677,56,0.010000,0.000100
3,0.095,0.623,93,0.010000,0.000100
4,0.098,0.680,94,0.010000,0.000100
5,0.180,0.707,95,0.010000,0.000100
6,0.141,0.669,96,0.010000,0.000100
7,0.107,0.629,97,0.010000,0.000100
8,0.170,0.626,98,0.010000,0.000100
9,0.166,0.649,99,0.010000,0.000100
10,0.104,0.618,100,0.010000,0.000100
11,0.106,0.634,101,0.010000,0.000100
12,0.100,0.642,102,0.010000,0.000100
1,0.210,0.692,95,0.010000,0.000100
2,0.237,0.699,87,0.010000,0.000100
3,0.100,0.623,103,0.010000,0.000100
4,0.204,0.688,104,0.010000,0.000100
5,0.102,0.662,105,0.010000,0.000100
6,0.109,0.596,106,0.010000,0.000100
7,0.100,0.659,107,0.010000,0.000100
8,0.226,0.654,108,0.010000,0.000100
9,0.106,0.635,109,0.010000,0.000100
10,0.198,0.672,110,0.010000,0.000100
11,0.176,0.651,111,0.010000,0.000100
12,0.100,0.596,112,0.010000,0.000100
1,0.197,0.694,87,0.010000,0.000100
2,0.279,0.685,95,0.010000,0.000100
3,0.099,0.608,113,0.010000,0.000100
4,0.103,0.606,114,0.010000,0.000100
5,0.169,0.710,115,0.010000,0.000100
6,0.124,0.703,116,0.010000,0.000100
7,0.175,0.696,117,0.010000,0.000100
8,0.283,0.686,118,0.010000,0.000100
9,0.211,0.662,119,0.010000,0.000100
10,0.095,0.577,120,0.010000,0.000100
11,0.253,0.686,121,0.010000,0.000100
12,0.130,0.695,122,0.010000,0.000100
1,0.233,0.672,115,0.010000,0.000100
2,0.201,0.695,116,0.010000,0.000100
3,0.107,0.657,123,0.010000,0.000100
4,0.246,0.705,124,0.010000,0.000100
5,0.131,0.680,125,0.010000,0.000100
6,0.207,0.675,126,0.010000,0.000100
7,0.228,0.702,127,0.010000,0.000100
8,0.117,0.696,128,0.010000,0.000100
9,0.284,0.689,129,0.010000,0.000100
10,0.203,0.728,130,0.010000,0.000100
11,0.247,0.708,131,0.010000,0.000100
12,0.221,0.707,132,0.010000,0.000100
1,0.109,0.697,130,0.010000,0.000100
2,0.221,0.702,131,0.010000,0.000100
3,0.108,0.672,133,0.010000,0.000100
4,0.109,0.665,134,0.010000,0.000100
5,0.145,0.694,135,0.010000,0.000100
6,0.140,0.658,136,0.010000,0.000100
7,0.103,0.651,137,0.010000,0.000100
8,0.142,0.695,138,0.010000,0.000100
9,0.162,0.684,139,0.010000,0.000100
10,0.163,0.710,140,0.010000,0.000100
11,0.110,0.662,141,0.010000,0.000100
12,0.121,0.649,142,0.010000,0.000100
1,0.122,0.686,140,0.010000,0.000100
2,0.139,0.705,131,0.010000,0.000100
3,0.104,0.604,143,0.010000,0.000100
4,0.110,0.673,144,0.010000,0.000100
5,0.109,0.699,145,0.010000,0.000100
6,0.099,0.655,146,0.010000,0.000100
7,0.157,0.676,147,0.010000,0.000100
8,0.106,0.637,148,0.010000,0.000100
9,0.101,0.658,149,0.010000,0.000100
10,0.094,0.663,150,0.010000,0.000100
11,0.146,0.717,151,0.010000,0.000100
12,0.097,0.636,152,0.010000,0.000100
1,0.136,0.666,151,0.010000,0.000100
2,0.141,0.690,131,0.010000,0.000100
3,0.129,0.708,153,0.010000,0.000100
4,0.179,0.696,154,0.010000,0.000100
5,0.121,0.695,155,0.010000,0.000100
6,0.108,0.661,156,0.010000,0.000100
7,0.117,0.696,157,0.010000,0.000100
8,0.125,0.645,158,0.010000,0.000100
9,0.103,0.656,159,0.010000,0.000100
10,0.089,0.673,160,0.010000,0.000100
11,0.152,0.684,161,0.010000,0.000100
12,0.118,0.703,162,0.010000,0.000100
1,0.155,0.704,153,0.010000,0.000100
2,0.146,0.714,162,0.010000,0.000100
3,0.106,0.664,163,0.010000,0.000100
4,0.101,0.680,164,0.010000,0.000100
5,0.133,0.668,165,0.010000,0.000100
6,0.123,0.683,166,0.010000,0.000100
7,0.104,0.639,167,0.010000,0.000100
8,0.098,0.692,168,0.010000,0.000100
9,0.097,0.683,169,0.010000,0.000100
10,0.109,0.688,170,0.010000,0.000100
11,0.147,0.686,171,0.010000,0.000100
12,0.118,0.690,172,0.010000,0.000100
1,0.152,0.702,162,0.010000,0.000100
2,0.142,0.696,153,0.010000,0.000100
3,0.117,0.697,173,0.010000,0.000100
4,0.138,0.687,174,0.010000,0.000100
5,0.154,0.715,175,0.010000,0.000100
6,0.110,0.697,176,0.010000,0.000100
7,0.105,0.672,177,0.010000,0.000100
8,0.120,0.656,178,0.010000,0.000100
9,0.102,0.683,179,0.010000,0.000100
10,0.091,0.694,180,0.010000,0.000100
11,0.125,0.661,181,0.010000,0.000100
12,0.122,0.672,182,0.010000,0.000100
1,0.135,0.711,175,0.010000,0.000100
2,0.129,0.709,162,0.010000,0.000100
3,0.099,0.630,183,0.010000,0.000100
4,0.150,0.721,184,0.010000,0.000100
5,0.095,0.645,185,0.010000,0.000100
6,0.103,0.679,186,0.010000,0.000100
7,0.128,0.665,187,0.010000,0.000100
